336,26.08,-1.65,0.02,9.60
334,25.98,-1.71,0.02,9.92
339,25.98,-1.68,-0.04,9.63
346,25.98,-1.61,0.03,9.41
345,25.98,-1.65,0.03,9.70
340,25.98,-1.71,0.08,9.66
340,25.98,-1.62,0.09,9.69
345,25.98,-1.63,0.03,9.58
335,25.98,-1.65,0.06,9.89
337,25.98,-1.68,0.00,9.75
336,25.98,-1.64,0.01,9.45
343,25.98,-1.51,0.02,9.77
343,25.98,-1.65,-0.05,9.43
338,25.98,-1.54,0.04,9.64
340,25.88,-1.66,-0.08,9.59
337,25.88,-1.62,-0.03,9.59
344,25.88,-1.63,-0.06,9.57
345,25.88,-1.67,0.07,9.51
345,25.88,-1.57,0.00,9.35
349,25.88,-1.57,-0.04,9.55
346,25.88,-1.64,-0.03,9.59
338,25.88,-1.59,0.02,9.71
337,25.88,-1.64,0.10,9.72
342,25.88,-1.65,-0.04,9.68
341,25.88,-1.63,-0.02,9.65
345,25.88,-1.65,-0.01,9.69
343,25.88,-1.59,-0.01,9.55
340,25.77,-1.62,-0.05,9.79
340,25.77,-1.62,-0.08,9.69
342,25.77,-1.56,-0.07,9.57
345,25.77,-1.52,-0.12,9.47
345,25.77,-1.53,-0.11,9.81
334,25.77,-1.63,-0.07,9.64
339,25.77,-1.69,-0.09,9.83
338,25.77,-1.68,-0.03,9.65
345,25.77,-1.61,-0.11,9.54
338,25.77,-1.66,0.07,9.51
349,25.77,-1.55,-0.20,9.58
338,25.77,-1.65,-0.13,9.75
337,25.77,-1.71,-0.11,9.79
342,25.67,-1.55,-0.01,9.60
342,25.67,-1.58,0.04,9.45
340,25.67,-1.65,-0.04,9.64
345,25.67,-1.63,-0.09,9.87
338,25.67,-1.70,-0.01,9.78
331,25.67,-1.66,-0.26,9.78
339,25.67,-1.68,-0.04,9.71
349,25.67,-1.53,-0.19,9.46
345,25.67,-1.54,-0.10,9.52
335,25.67,-1.60,0.00,9.51
340,25.67,-1.70,-0.03,9.74
341,25.67,-1.55,-0.12,9.68
343,25.67,-1.64,-0.05,9.60
344,25.67,-1.58,0.00,9.64
337,25.57,-1.59,0.01,9.55
344,25.67,-1.56,0.00,10.02
336,25.57,-1.70,-0.03,9.83
341,25.57,-1.58,-0.24,9.59
342,25.57,-1.62,-0.08,9.58
347,25.57,-1.54,-0.11,9.53
355,25.57,-1.55,-0.23,9.59
336,25.57,-1.65,-0.32,9.84
336,25.57,-1.65,-0.30,9.67
346,25.57,-1.68,0.14,9.58
352,25.57,-1.60,0.15,9.47
352,25.57,-1.59,-0.04,9.48
339,25.57,-1.74,0.09,9.45
318,25.57,-1.65,-0.02,9.74
345,25.67,-1.67,-0.06,9.66
354,25.67,-1.66,-0.15,9.59
348,25.67,-1.69,-0.09,9.55
346,25.67,-1.56,0.02,9.65
349,25.67,-1.68,-0.05,9.69
335,25.67,-1.68,-0.15,9.69
342,25.67,-1.61,0.02,9.63
340,25.67,-1.72,-0.04,9.58
333,25.67,-1.72,-0.05,9.69
337,25.67,-1.78,0.03,9.67
335,25.67,-1.67,-0.15,9.56
348,25.67,-1.55,-0.06,9.51
350,25.67,-1.61,-0.12,9.58
344,25.67,-1.65,-0.13,9.70
348,25.67,-1.65,-0.17,9.70
347,25.67,-1.62,-0.15,9.51
350,25.67,-1.59,-0.15,9.51
334,25.67,-1.59,-0.09,9.60
341,25.57,-1.67,-0.11,9.88
340,25.57,-1.61,-0.12,9.70
347,25.57,-1.68,-0.10,9.70
341,25.57,-1.60,-0.10,9.67
353,25.57,-1.63,-0.15,9.57
332,25.57,-1.76,-0.03,9.65
338,25.57,-1.67,-0.10,9.66
340,25.57,-1.72,-0.11,9.57
348,25.57,-1.64,-0.15,9.32
338,25.57,-1.61,0.04,9.71
334,25.57,-1.62,-0.13,9.67
340,25.57,-1.61,-0.12,9.70
346,25.57,-1.62,-0.01,9.52
353,25.57,-1.63,-0.09,9.45
338,25.57,-1.59,-0.11,9.76
330,25.57,-1.68,-0.06,9.82
339,25.57,-1.68,-0.13,9.58
349,25.57,-1.71,-0.20,9.62
379,25.57,-1.53,0.17,9.62
335,25.57,-1.73,-0.02,9.81
342,25.46,-1.71,-0.15,9.51
349,25.46,-1.69,-0.09,9.51
345,25.46,-1.66,-0.11,9.53
341,25.46,-1.63,-0.10,9.66
340,25.46,-1.60,-0.07,9.75
342,25.46,-1.63,-0.12,9.65
352,25.46,-1.57,-0.12,9.48
338,25.46,-1.73,-0.05,9.66
242,25.46,-1.55,0.25,9.82
333,25.46,-1.71,-0.12,9.73
343,25.46,-1.59,-0.12,9.60
348,25.46,-0.56,-0.12,9.74
345,25.46,-0.34,-0.14,9.90
348,25.46,-0.05,-0.10,9.79
